CANONICAL_SMILES,REFERENCE_ID,NAME,DOI,LINK,ORGANISM,ORGANISM_PART,COCONUT_ID,MOL_FILENAME,STRUCTURAL_COMMENTS,GEO_LOCATION,LOCATION
COC1=CC=C(CCC2=CC(=O)C3=C(O2)[C@@H](O)[C@@H]2OC4=CC=C5OC(CCC6=CC=CC=C6)=CC(=O)C5=C4[C@H]3[C@@H]2O)C=C1,499,Thymelaeaceae,10.1021/acs.jnatprod.7b00919.s001,http://www.inflamnat.com/#/main/search/detail?id=499,Thymelaeaceae,,,,,,
COC1=CC=C(CCC2=CC(=O)C3=C(O2)[C@@H](O)[C@@H]2OC4=C5OC(CCC6=CC=C(OC)C=C6)=CC(=O)C5=CC(O)=C4[C@H]3[C@@H]2O)C=C1,500,Thymelaeaceae,10.1021/acs.jnatprod.7b00919.s001,http://www.inflamnat.com/#/main/search/detail?id=500,Thymelaeaceae,,,,,,
COC1=CC=C(CCC2=CC(=O)C3=C(O2)[C@H](O)[C@H]2OC4=C(OC)C=CC(CCC5=COC6=CC=C(OC)C=C6C5=O)=C4[C@@H]3[C@H]2O)C=C1,501,Thymelaeaceae,10.1021/acs.jnatprod.7b00919.s001,http://www.inflamnat.com/#/main/search/detail?id=501,Thymelaeaceae,,,,,,
COC1=CC=C(CCC2=CC(=O)C3=C(O2)[C@H](O)[C@H]2OC4=CC(CCC5=CC(=O)C6=C(C=CC(OC)=C6)O5)=CC=C4[C@@H]3[C@H]2O)C=C1,502,Thymelaeaceae,10.1021/acs.jnatprod.7b00919.s001,http://www.inflamnat.com/#/main/search/detail?id=502,Thymelaeaceae,,,,,,
O=C1C=C(CCC2=CC=CC=C2)OC2=C1[C@@H]1OC3=C(C=C4C(=O)C=C(CCC5=CC=CC=C5)OC4=C3)O[C@@H]([C@@H]1O)[C@H]2O,503,Thymelaeaceae,10.1021/acs.jnatprod.7b00919.s001,http://www.inflamnat.com/#/main/search/detail?id=503,Thymelaeaceae,,,,,,
COC1=CC=C(CCC2=CC(=O)C3=C(O2)[C@@H](O)[C@@H]2OC4=C(C=C5OC(CCC6=CC=CC=C6)=CC(=O)C5=C4)O[C@H]3[C@@H]2O)C=C1,504,Thymelaeaceae,10.1021/acs.jnatprod.7b00919.s001,http://www.inflamnat.com/#/main/search/detail?id=504,Thymelaeaceae,,,,,,
CC(C)=C[C@H](O)[C@@H](O)/C(C)=C/CC/C(C)=C/CC[C@]1(C)CCC2=C(O1)C(C)=CC(O)=C2,355,Leguminosae,10.1016/j.fct.2013.08.010,http://www.inflamnat.com/#/main/search/detail?id=355,Leguminosae,,,,,,
CC(C)=CCC/C(C)=C/COC1=CC2=C(C=C1)C=CC(=O)O2,14,Rutaceae,10.1016/j.bmcl.2004.02.009,http://www.inflamnat.com/#/main/search/detail?id=14,Rutaceae,,,,,,
COC1=C(OC/C=C(\C)CCC=C(C)C)C=CC2=C1OC(=O)C=C2,63,Rutaceae,10.1007/s11418-015-0957-x,http://www.inflamnat.com/#/main/search/detail?id=63,Rutaceae,,,,,,
COC1=CC2=C(C=CC(C)=C2)C2=C1C=CC(=O)O2,259,Rutaceae,10.1021/np500861u,http://www.inflamnat.com/#/main/search/detail?id=259,Rutaceae,,,,,,
COC1=CC2=C(C=CC(COC(=O)CC(C)C)=C2)C2=C1C=CC(=O)O2,260,Rutaceae,10.1021/np500861u,http://www.inflamnat.com/#/main/search/detail?id=260,Rutaceae,,,,,,
CCOC(C)(C)[C@@H](O)CC1=C2OC(=O)C=CC2=CC(OC)=C1OC,261,Rutaceae,10.1021/np500861u,http://www.inflamnat.com/#/main/search/detail?id=261,Rutaceae,,,,,,
COC1=CC(OC)=C2C=CC(=O)OC2=C1C/C=C(\C)C=O,262,Rutaceae,10.1021/np500861u,http://www.inflamnat.com/#/main/search/detail?id=262,Rutaceae,,,,,,
COC1=CC(OC)=C2C=CC(=O)OC2=C1CC=O,263,Rutaceae,10.1021/np500861u,http://www.inflamnat.com/#/main/search/detail?id=263,Rutaceae,,,,,,
COC1=CC=C2C=CC(=O)OC2=C1C(=O)C(=O)C(C)C,264,Rutaceae,10.1021/np500861u,http://www.inflamnat.com/#/main/search/detail?id=264,Rutaceae,,,,,,
C=C(C)/C=C\C1=C(OC)C=C(OC)C2=C1OC(=O)C=C2,265,Rutaceae,10.1021/np500861u,http://www.inflamnat.com/#/main/search/detail?id=265,Rutaceae,,,,,,
COC1=C(CC=C(C)C)C2=C(C=CC(=O)O2)C(OC)=C1,266,Rutaceae,10.1021/np500861u,http://www.inflamnat.com/#/main/search/detail?id=266,Rutaceae,,,,,,
COC1=C(/C=C/C(C)C)C2=C(C=CC(=O)O2)C(OC)=C1,267,Rutaceae,10.1021/np500861u,http://www.inflamnat.com/#/main/search/detail?id=267,Rutaceae,,,,,,
COC1=C(CC(=O)C(C)C)C2=C(C=CC(=O)O2)C(OC)=C1,268,Rutaceae,10.1021/np500861u,http://www.inflamnat.com/#/main/search/detail?id=268,Rutaceae,,,,,,
C=C(C)C(O)C(OCC)C1=C(OC)C=CC2=C1OC(=O)C=C2,269,Rutaceae,10.1021/np500861u,http://www.inflamnat.com/#/main/search/detail?id=269,Rutaceae,,,,,,
COC1=C(/C=C/C(C)=O)C2=C(C=CC(=O)O2)C(OC)=C1,270,Rutaceae,10.1021/np500861u,http://www.inflamnat.com/#/main/search/detail?id=270,Rutaceae,,,,,,
CCOC(C)(C)C(O)CC1=C(OC)C=C(OC)C2=C1OC(=O)C=C2,271,Rutaceae,10.1021/np500861u,http://www.inflamnat.com/#/main/search/detail?id=271,Rutaceae,,,,,,
COC1=CC=C2C=CC(=O)OC2=C1CC=C(C)C,302,Umbelliferae,10.1021/jf102812t,http://www.inflamnat.com/#/main/search/detail?id=302,Umbelliferae,,,,,,
COC1=CC2=C(C=C1O)OC(=O)C=C2,364,Solanaceae,10.1080/08923973.2016.1203929,http://www.inflamnat.com/#/main/search/detail?id=364,Solanaceae,,,,,,
CC(C)=CC(=O)O[C@H]1CC2=C(C=C3OC(=O)C=CC3=C2)OC1(C)C,454,Apiaceae,10.1124/mol.105.021048,http://www.inflamnat.com/#/main/search/detail?id=454,Apiaceae,,,,,,
COC1=CC=C2C=CC(=O)OC2=C1C(=O)C(OC(=O)CC(C)C)=C(C)C,529,Rutaceae,10.1021/acs.jnatprod.7b00518,http://www.inflamnat.com/#/main/search/detail?id=529,Rutaceae,,,,,,
C=C(C)/C=C/C1=C(OC)C=CC2=C1OC(=O)C=C2,530,Rutaceae,10.1021/acs.jnatprod.7b00518,http://www.inflamnat.com/#/main/search/detail?id=530,Rutaceae,,,,,,
C=C(C)[C@@H](OC(C)=O)[C@H](OC(C)=O)C1=C(OC)C=CC2=C1OC(=O)C=C2,531,Rutaceae,10.1021/acs.jnatprod.7b00518,http://www.inflamnat.com/#/main/search/detail?id=531,Rutaceae,,,,,,
O=C1C=C2C[C@]3(O)COC4=C(C=CC(O)=C4O)C3=C2C=C1O,177,Leguminosae ,10.1097/00005344-200308000-00019,http://www.inflamnat.com/#/main/search/detail?id=177,Leguminosae ,,,,,,
C/C(=C\COC1=C2OC(=O)C=CC2=CC2=C1OC=C2)CCC(=O)C(C)(C)O,596,Rutaceae,10.1016/j.phytol.2018.07.030,http://www.inflamnat.com/#/main/search/detail?id=596,Rutaceae,,,,,,
CC(=O)OC(C)(C)[C@@H]1CC2=C(O1)C(O)=C1OC(=O)C=CC1=C2,597,Rutaceae,10.1016/j.phytol.2018.07.030,http://www.inflamnat.com/#/main/search/detail?id=597,Rutaceae,,,,,,
CCCC1=CC(=O)C2=C(O)C=C3C=C(O)C=C(OC)C3=C2O1,64,Marine,10.3390/molecules190914667,http://www.inflamnat.com/#/main/search/detail?id=64,Marine,,,,,,
CC1=CC(=O)C2=C(O)C=CC=C2C1=O,328,Plumbaginaceae,10.1016/j.fct.2013.11.027,http://www.inflamnat.com/#/main/search/detail?id=328,Plumbaginaceae,,,,,,
CC(C)=CCC(O)C1=CC(=O)C2=C(C1=O)C(O)=CC=C2O,414, Boraginaceae,10.1016/j.intimp.2013.04.020,http://www.inflamnat.com/#/main/search/detail?id=414, Boraginaceae,,,,,,
C/C=C(\C)CC/C=C(\C)C(=O)OCC(C)(C)CC1=C(O)C2=CC=CC=C2C(=O)C1=O,475,Acanthaceae,10.1155/2017/5414297,http://www.inflamnat.com/#/main/search/detail?id=475,Acanthaceae,,,,,,
CC(C)=CCC1=C2OC(=O)C=CC2=C(O)C(C(=O)CC(C)COC(=O)/C=C/C2=CC=CC=C2)=C1O,193,Animal/Propolis,10.1021/acs.jnatprod.6b00263.s001,http://www.inflamnat.com/#/main/search/detail?id=193,Animal/Propolis,,,,,,
O=C1OC2=C3C(=CC(O)=C2O)C(=O)OC2=C3C1=CC(O)=C2O,147,Punicaceae,10.1186/s12906-017-1555-0,http://www.inflamnat.com/#/main/search/detail?id=147,Punicaceae,,,,,,
COC1=CC2=C(C(O)=C1)C1=C(C(=O)O2)C2=C(C=C(O)C(O)=C2)O1,447,Asteraceae,10.1186/1423-0127-20-84,http://www.inflamnat.com/#/main/search/detail?id=447,Asteraceae,,,,,,
OCCNC1=NC=NC2=C1N=CN2[C@H]1C[C@@H](O)[C@@H](CO)O1,282,Fungi,10.1021/acs.jnatprod.5b00573,http://www.inflamnat.com/#/main/search/detail?id=282,Fungi,,,,,,
O=C(O)[C@H]1O[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,29,Marine,10.2147/dddt.s129419,http://www.inflamnat.com/#/main/search/detail?id=29,Marine,,,,,,
O=C(O)C[C@@H]1C(=O)O[C@H]2[C@@H]3OC(=O)C4=C(C(O)=C(O)C(O)=C4)C4=C(C=C(O)C(O)=C4O)C(=O)OC[C@H]2O[C@@H](OC(=O)C2=CC(O)=C(O)C(O)=C2)[C@@H]3OC(=O)C2=C3C(=C(O)C(O)=C2)OC(=O)[C@@H](O)[C@H]31,53,Combretaceae,10.1016/j.bbrc.2009.02.022,http://www.inflamnat.com/#/main/search/detail?id=53,Combretaceae,,,,,,
CCCCCCCCCC(=O)O[C@H]1[C@@H](O[C@]2(CO)O[C@@H](CO)[C@H](O)[C@H]2OC(=O)C(C)C)O[C@H](CO)[C@@H](OC(=O)C(C)C)[C@@H]1OC(=O)C(C)C,307,Solanaceae,10.1055/s-0034-1383192,http://www.inflamnat.com/#/main/search/detail?id=307,Solanaceae,,,,,,
